stock,endDate,cash
AEIS,2017-12-31,407283000.0
AEIS,2018-12-31,349301000.0
AEIS,2019-12-31,346441000.0
AEL,2016-12-31,791266000.0
AEL,2017-12-31,1434045000.0
AEL,2018-12-31,344396000.0
AEL,2019-12-31,2293392000.0
AEM,2016-12-31,539974000.0
AEM,2017-12-31,632978000.0
AEM,2018-12-31,301826000.0
AEM,2019-12-31,321897000.0
AEMD,2016-03-31,2123737.0
AEMD,2017-03-31,1559701.0
AEMD,2018-03-31,6974070.0
AEMD,2019-03-31,3828074.0
AEO,2017-01-28,378613000.0
AEO,2018-02-03,413613000.0
AEO,2019-02-02,333330000.0
AEO,2020-02-01,361930000.0
AEP,2016-12-31,210500000.0
AEP,2017-12-31,214600000.0
AEP,2018-12-31,234100000.0
AEP,2019-12-31,246800000.0
AER,2016-12-31,2035447000.0
AER,2017-12-31,1659669000.0
AER,2018-12-31,1204018000.0
AER,2019-12-31,1121396000.0
AERI,2016-12-31,197945000.0
AERI,2017-12-31,197569000.0
AERI,2018-12-31,202818000.0
AERI,2019-12-31,143940000.0
AES,2016-12-31,1244000000.0
AES,2017-12-31,949000000.0
AES,2018-12-31,1166000000.0
AES,2019-12-31,1029000000.0
AESE,2016-12-31,2518509.0
AESE,2017-12-31,5589229.0
AESE,2018-12-31,10471296.0
AESE,2019-12-31,8440573.0
AEY,2016-09-30,4508126.0
AEY,2017-09-30,3972723.0
AEY,2018-09-30,3129280.0
AEY,2019-09-30,1242143.0
AEYE,2016-12-31,1409418.0
AEYE,2017-12-31,1960430.0
AEYE,2018-12-31,5741549.0
AEYE,2019-12-31,1972160.0
AEZS,2016-12-31,21999000.0
AEZS,2017-12-31,7780000.0
AEZS,2018-12-31,14512000.0
AEZS,2019-12-31,7838000.0
AFG,2016-12-31,2107000000.0
AFG,2017-12-31,2338000000.0
AFG,2018-12-31,1515000000.0
AFG,2019-12-31,2314000000.0
AFH,2015-12-31,22354000.0
AFH,2016-12-31,29888000.0
AFH,2017-12-31,45615000.0
AFH,2018-12-31,34902000.0
